"year","hatchdate","cs","layday","recruit"
1993,131,10,19,3
1994,143,7,26,0
1997,128,10,13,0
1996,143,8,29,0
1992,139,10,27,3
1995,131,8,19,1
1992,137,8,25,1
1993,132,9,20,1
1992,139,10,26,0
1992,139,8,28,0
1993,134,8,23,0
1992,136,9,23,1
1993,133,8,24,0
1994,139,9,29,0
1992,141,8,30,0
1992,140,10,27,3
1993,132,9,21,3
1993,132,10,19,2
1993,130,9,19,0
1996,141,8,29,0
1993,138,11,20,3
1993,143,9,32,0
1996,142,9,30,2
1993,132,9,21,0
1994,139,8,28,2
2004,132,5,19,1
2004,136,9,24,0
2006,139,10,28,1
2005,137,10,24,0
2004,135,9,21,1
2005,144,9,26,0
2000,130,6,19,1
2000,131,8,18,3
2000,132,6,22,3
2001,136,8,25,0
2000,134,9,23,2
2000,134,8,23,0
2002,124,10,12,1
2000,137,5,28,2
2003,134,9,23,4
2000,138,4,30,0
2001,142,7,32,1
2002,125,7,15,1
2000,138,10,24,0
2000,139,7,29,1
2001,139,6,32,0
2000,135,9,22,2
2002,126,8,45,0
2000,142,7,31,3
2001,141,8,34,0
2001,136,5,28,2
2004,128,7,15,1
2002,121,8,13,2
2005,128,7,15,0
2003,128,6,19,1
2002,120,10,8,1
2004,127,9,14,0
2001,133,8,20,1
2001,137,8,26,0
2002,118,9,5,0
2001,133,8,17,0
2001,NA,10,34,1
2001,143,4,35,0
2001,142,7,32,3
2003,133,9,20,0
2001,151,6,49,0
2002,125,10,14,2
2002,121,9,9,1
2002,121,9,9,0
2004,139,11,22,1
2002,126,8,15,0
2003,134,10,6,0
2002,127,10,15,0
2002,128,7,20,0
2002,128,6,20,1
2003,129,5,20,1
2003,133,8,24,0
